"category","icon_name"
"interface-essential-protect","interface-essential-protect-rubber-ring"
"interface-essential","interface-essential-question-help-square"
"interface-essential","interface-essential-recycle"
"interface-essential-reflect","interface-essential-reflect-down"
"interface-essential-reflect-down","interface-essential-reflect-down-up"
"interface-essential","interface-essential-safari-compass"
"interface-essential-search","interface-essential-search-binocular"
"interface-essential-search","interface-essential-search-check"
"interface-essential-search","interface-essential-search-remove"
"interface-essential","interface-essential-send-mail"
"interface-essential","interface-essential-settings-toggle-horizontal"
"interface-essential-share","interface-essential-share-2"
"interface-essential-share","interface-essential-share-3"
"interface-essential-shrink","interface-essential-shrink-1"
"interface-essential-shrink","interface-essential-shrink-2"
"interface-essential-shrink","interface-essential-shrink-3"
"interface-essential-shrink","interface-essential-shrink-4"
"interface-essential-signin","interface-essential-signin-expand"
"interface-essential-signin","interface-essential-signin-login"
"interface-essential","interface-essential-signout-logout"
"interface-essential","interface-essential-skull-2"
"interface-essential","interface-essential-speaker-announce"
"interface-essential-stop-sign","interface-essential-stop-sign-1"
"interface-essential-stop-sign","interface-essential-stop-sign-2"
"interface-essential","interface-essential-stopwatch"
"interface-essential-text-format","interface-essential-text-format-1"
"interface-essential-text-format","interface-essential-text-format-2"
"interface-essential-text-input-area","interface-essential-text-input-area-1"
"interface-essential-text-input-area","interface-essential-text-input-area-2"
"interface-essential-text-input-area","interface-essential-text-input-area-3"
"interface-essential-touch-id","interface-essential-touch-id-lock"
"interface-essential-touch-id","interface-essential-touch-id-smartphone"
"interface-essential","interface-essential-translate"
"interface-essential","interface-essential-voice-id"
"interface-essential","interface-essential-watch-time"
"interface-essential","interface-essential-wifi-feed"
"interface-essential","interface-essential-wireless"
"interface-essential","interface-essential-wrench-2"
"interface-essential-zoom","interface-essential-zoom-in"
"interface-essential-zoom-in","interface-essential-zoom-in-page"
"interface-essential-zoom","interface-essential-zoom-out"
"interface-essential-zoom-out","interface-essential-zoom-out-page"
"internet-network","internet-network-arrow-sync"
"internet-network-cloud","internet-network-cloud-error"
"internet-network-cloud","internet-network-cloud-off"
"internet-network-computer","internet-network-computer-download"
"internet-network-computer","internet-network-computer-upload"
"internet-network","internet-network-laptop"
"internet-network","internet-network-wifi-monitor"
"internet-network","internet-network-www"
"logo","logo-linkedin"
"logo","logo-pinterest"
"logo","logo-snapchat"
"logo-social-media","logo-social-media-dropbox"
"logo-social-media","logo-social-media-facebook-circle"
"logo-social-media","logo-social-media-instagram"
"logo-social-media-instagram","logo-social-media-instagram-circle"
"logo-social-media","logo-social-media-old-instagram"
"logo-social-media","logo-social-media-tiktok"
"logo-social-media-tiktok","logo-social-media-tiktok-circle"
"logo-social-media","logo-social-media-twitter-circle"
"logo-social-media","logo-social-media-youtube"
"logo-social-media-youtube","logo-social-media-youtube-circle"
"logo-soundcloud","logo-soundcloud-1"
"logo-soundcloud","logo-soundcloud-2"
"logo","logo-spotify"
"logo-twitch","logo-twitch-1"
"logo-twitch","logo-twitch-2"
"logo","logo-whatapp"
"map-navigation","map-navigation-compass-direction"
"map-navigation-pin-location","map-navigation-pin-location-1"
"map-navigation-pin-location","map-navigation-pin-location-2"
"map-navigation-pin-location","map-navigation-pin-location-trip"
"mobile","mobile-phone"
"money-payments-accounting-bill-money","money-payments-accounting-bill-money-1"
"money-payments-accounting-bill-money","money-payments-accounting-bill-money-2"
"money-payments-accounting","money-payments-accounting-calculator"
"money-payments","money-payments-bank"
"money-payments","money-payments-calculator-app"
"money-payments","money-payments-cash-payment-coin"
"money-payments-credit-card","money-payments-credit-card-mastercard"
"money-payments-credit-card","money-payments-credit-card-visa"
"money-payments","money-payments-currency-euro-dollar-exchange"
"money-payments","money-payments-diamond"
"money-payments","money-payments-saving-treasure"
"money-payments","money-payments-self-payment"
"money-payments","money-payments-smartphone-pay-dollar"
"multiple","multiple-user"
"music","music-album-cd-disk-playlist"
"music","music-clef-sheet"
"music-disk-cd","music-disk-cd-1"
"music-disk-cd","music-disk-cd-2"
"music-microphone","music-microphone-1"
"music-microphone","music-microphone-2"
"music","music-notes-music-2"
"music","music-radio-stereo"
"music","music-vinyl-record"
"music","music-walkman-cassette"
"non","non-gmo-fertilizer"
"notification","notification-email"
"pet-animals","pet-animals-bear"
"pet-animals","pet-animals-buffalo"
"pet-animals","pet-animals-cat"
"pet-animals","pet-animals-dog"
"pet-animals","pet-animals-frog"
"pet-animals-frog","pet-animals-frog-face"
"pet-animals","pet-animals-gorilla"
"pet-animals","pet-animals-ox"
"pet-animals","pet-animals-pig"
"pet-animals-rabbit","pet-animals-rabbit-1"
"pet-animals-rabbit","pet-animals-rabbit-2"
"pet-animals","pet-animals-turtle"
"phone-actions-remove","phone-actions-remove-1"
"phone-actions-remove","phone-actions-remove-2"
